컷신 번호+파트 (ex) 01 : 컷신0 파트1,이름,대사,속도,폰트크기 (기본: 60),"폰트스타일(normal: """", bold: ""b"", italic: ""i"")"
,,본 프로젝트는 차선책인 행동유도를 채택했습니다.,0.05,,
,주인공,행동 유도라.,0.05,,
,,그렇다면 가짜와 진짜의 차이는 뭐지?,0.05,,
,AI,인간이 아니라는 점입니다.,0.05,,
,주인공,나는 인간인가?,0.05,,
,AI,*접근 권한 없음.*,0.05,,
,주인공,그런 거였군...,0.05,,
,,지금까지 나를 막도록 유도된\n무고한 이들을 죽여온건가..?,0.05,,
,, . . . ,0.05,,
,드론,꼭 그렇다고 할 수는 없죠.,0.05,,
,,들어보니 이 프로젝트는\n인간만을 위한 것 같으니까요.,0.05,,
,주인공, . . . ,0.05,,
,,망할…,0.05,,
,, . . . ,0.05,,
,,이제 어쩌지?,0.05,,
,드론,자신이 인간이 아닐까봐 걱정되시나요?,0.05,,
,주인공,뭔 *심한 욕설* 같은 소리야.,0.05,,
,드론,네?,0.05,,
,주인공,우린 거대기업 중요 프로젝트\n내부에 침입했다고.,0.05,,
,,집에 돌아갈 방법이 없어.,0.05,,
,,*심한 욕설*,0,,
,드론,예상보다 명석하시네요.,0.05,,
,주인공,허탈하군,0.05,,
,,내게 상금을 건 녀석 낯짝을 봤어야 하는데.,0.05,,
,,이곳을 박살내도 내게 걸린 상금은 그대로겠지?,0.05,,
,드론,그럴 확률이 높죠.,0.05,,
,,그래도 계속 이동하는 편이 좋을 것 같네요.,0.05,,
,주인공,하지만 어디로?,0.05,,
,,이대로 얼마나 더 도망칠 수 있을지…,0.05,,
,드론,그쪽은 모르겠지만 전 아직 죽기 싫다구요.,0.05,,
,주인공,그렇군.,0.05,,
,,그럼 계속 가야겠지.,0.05,,
,드론,그 전에.,0.05,,
,,이 불쾌한 녀석부터 박살을 낼까요.,0.05,,
,주인공, . . . ,0.05,,
,,그래.,0.05,,
,,이동하자.,0.05,,
end,,,,,
